"tollgate_id","time_window","direction","volume","proportion_hasetc_vehicles"
"2","[2016-10-18 05:00:00,2016-10-18 05:20:00)","0","15","2"
"1","[2016-10-18 05:20:00,2016-10-18 05:40:00)","1","30","1"
"1","[2016-10-18 05:20:00,2016-10-18 05:40:00)","0","2","0"
"3","[2016-10-18 05:20:00,2016-10-18 05:40:00)","1","15","2"
"3","[2016-10-18 05:20:00,2016-10-18 05:40:00)","0","13","2"
"2","[2016-10-18 05:20:00,2016-10-18 05:40:00)","0","23","0"
"1","[2016-10-18 05:40:00,2016-10-18 06:00:00)","1","31","5"
"1","[2016-10-18 05:40:00,2016-10-18 06:00:00)","0","4","0"
"3","[2016-10-18 05:40:00,2016-10-18 06:00:00)","1","14","2"
"3","[2016-10-18 05:40:00,2016-10-18 06:00:00)","0","17","1"
"2","[2016-10-18 05:40:00,2016-10-18 06:00:00)","0","16","3"
"1","[2016-10-18 06:00:00,2016-10-18 06:20:00)","1","37","3"
"1","[2016-10-18 06:00:00,2016-10-18 06:20:00)","0","13","2"
"3","[2016-10-18 06:00:00,2016-10-18 06:20:00)","1","23","2"
"3","[2016-10-18 06:00:00,2016-10-18 06:20:00)","0","30","7"
"2","[2016-10-18 06:00:00,2016-10-18 06:20:00)","0","24","4"
"1","[2016-10-18 06:20:00,2016-10-18 06:40:00)","1","47","8"
"1","[2016-10-18 06:20:00,2016-10-18 06:40:00)","0","17","5"
"3","[2016-10-18 06:20:00,2016-10-18 06:40:00)","1","29","6"
"3","[2016-10-18 06:20:00,2016-10-18 06:40:00)","0","42","4"
"2","[2016-10-18 06:20:00,2016-10-18 06:40:00)","0","36","7"
"1","[2016-10-18 06:40:00,2016-10-18 07:00:00)","1","72","10"
"1","[2016-10-18 06:40:00,2016-10-18 07:00:00)","0","21","9"
"3","[2016-10-18 06:40:00,2016-10-18 07:00:00)","1","50","12"
"3","[2016-10-18 06:40:00,2016-10-18 07:00:00)","0","85","30"
"2","[2016-10-18 06:40:00,2016-10-18 07:00:00)","0","46","13"
"1","[2016-10-18 07:00:00,2016-10-18 07:20:00)","1","68","19"
"1","[2016-10-18 07:00:00,2016-10-18 07:20:00)","0","31","13"
"3","[2016-10-18 07:00:00,2016-10-18 07:20:00)","1","56","19"
"3","[2016-10-18 07:00:00,2016-10-18 07:20:00)","0","114","41"
"2","[2016-10-18 07:00:00,2016-10-18 07:20:00)","0","83","36"
"1","[2016-10-18 07:20:00,2016-10-18 07:40:00)","1","94","25"
"1","[2016-10-18 07:20:00,2016-10-18 07:40:00)","0","28","5"
"3","[2016-10-18 07:20:00,2016-10-18 07:40:00)","1","77","22"
"3","[2016-10-18 07:20:00,2016-10-18 07:40:00)","0","131","47"
"2","[2016-10-18 07:20:00,2016-10-18 07:40:00)","0","87","34"
"1","[2016-10-18 07:40:00,2016-10-18 08:00:00)","1","105","33"
"1","[2016-10-18 07:40:00,2016-10-18 08:00:00)","0","47","10"
"3","[2016-10-18 07:40:00,2016-10-18 08:00:00)","1","91","23"
"3","[2016-10-18 07:40:00,2016-10-18 08:00:00)","0","164","59"
"2","[2016-10-18 07:40:00,2016-10-18 08:00:00)","0","97","41"
"1","[2016-10-18 08:00:00,2016-10-18 08:20:00)","1","93","24"
"1","[2016-10-18 08:00:00,2016-10-18 08:20:00)","0","50","12"
"3","[2016-10-18 08:00:00,2016-10-18 08:20:00)","1","119","45"
"3","[2016-10-18 08:00:00,2016-10-18 08:20:00)","0","198","61"
"2","[2016-10-18 08:00:00,2016-10-18 08:20:00)","0","120","38"
"1","[2016-10-18 08:20:00,2016-10-18 08:40:00)","1","134","42"
"1","[2016-10-18 08:20:00,2016-10-18 08:40:00)","0","41","13"
"3","[2016-10-18 08:20:00,2016-10-18 08:40:00)","1","101","35"
"3","[2016-10-18 08:20:00,2016-10-18 08:40:00)","0","153","45"
"2","[2016-10-18 08:20:00,2016-10-18 08:40:00)","0","130","40"
"1","[2016-10-18 08:40:00,2016-10-18 09:00:00)","1","121","34"
"1","[2016-10-18 08:40:00,2016-10-18 09:00:00)","0","49","15"
"3","[2016-10-18 08:40:00,2016-10-18 09:00:00)","1","136","56"
"3","[2016-10-18 08:40:00,2016-10-18 09:00:00)","0","125","32"
"2","[2016-10-18 08:40:00,2016-10-18 09:00:00)","0","116","35"
"1","[2016-10-18 09:00:00,2016-10-18 09:20:00)","1","86","15"
"1","[2016-10-18 09:00:00,2016-10-18 09:20:00)","0","61","12"
"3","[2016-10-18 09:00:00,2016-10-18 09:20:00)","1","120","44"
"3","[2016-10-18 09:00:00,2016-10-18 09:20:00)","0","176","53"
"2","[2016-10-18 09:00:00,2016-10-18 09:20:00)","0","94","26"
"1","[2016-10-18 09:20:00,2016-10-18 09:40:00)","1","108","24"
"1","[2016-10-18 09:20:00,2016-10-18 09:40:00)","0","39","10"
"3","[2016-10-18 09:20:00,2016-10-18 09:40:00)","1","136","47"
"3","[2016-10-18 09:20:00,2016-10-18 09:40:00)","0","130","35"
"2","[2016-10-18 09:20:00,2016-10-18 09:40:00)","0","90","21"
"1","[2016-10-18 09:40:00,2016-10-18 10:00:00)","1","113","27"
"1","[2016-10-18 09:40:00,2016-10-18 10:00:00)","0","46","14"
"3","[2016-10-18 09:40:00,2016-10-18 10:00:00)","1","99","26"
"3","[2016-10-18 09:40:00,2016-10-18 10:00:00)","0","127","23"
"2","[2016-10-18 09:40:00,2016-10-18 10:00:00)","0","74","16"
"1","[2016-10-18 10:00:00,2016-10-18 10:20:00)","1","113","31"
"1","[2016-10-18 10:00:00,2016-10-18 10:20:00)","0","38","10"
"3","[2016-10-18 10:00:00,2016-10-18 10:20:00)","1","81","24"
"3","[2016-10-18 10:00:00,2016-10-18 10:20:00)","0","116","23"
"2","[2016-10-18 10:00:00,2016-10-18 10:20:00)","0","86","21"
"1","[2016-10-18 10:20:00,2016-10-18 10:40:00)","1","112","35"
"1","[2016-10-18 10:20:00,2016-10-18 10:40:00)","0","44","8"
"3","[2016-10-18 10:20:00,2016-10-18 10:40:00)","1","79","21"
"3","[2016-10-18 10:20:00,2016-10-18 10:40:00)","0","113","18"
"2","[2016-10-18 10:20:00,2016-10-18 10:40:00)","0","64","16"
"1","[2016-10-18 10:40:00,2016-10-18 11:00:00)","1","93","16"
"1","[2016-10-18 10:40:00,2016-10-18 11:00:00)","0","46","11"
"3","[2016-10-18 10:40:00,2016-10-18 11:00:00)","1","88","21"
"3","[2016-10-18 10:40:00,2016-10-18 11:00:00)","0","109","19"
"2","[2016-10-18 10:40:00,2016-10-18 11:00:00)","0","78","25"
"1","[2016-10-18 11:00:00,2016-10-18 11:20:00)","1","67","14"
"1","[2016-10-18 11:00:00,2016-10-18 11:20:00)","0","39","10"
"3","[2016-10-18 11:00:00,2016-10-18 11:20:00)","1","76","26"
"3","[2016-10-18 11:00:00,2016-10-18 11:20:00)","0","80","23"
"2","[2016-10-18 11:00:00,2016-10-18 11:20:00)","0","46","13"
"1","[2016-10-18 11:20:00,2016-10-18 11:40:00)","1","92","18"
"1","[2016-10-18 11:20:00,2016-10-18 11:40:00)","0","41","9"
"3","[2016-10-18 11:20:00,2016-10-18 11:40:00)","1","70","19"
"3","[2016-10-18 11:20:00,2016-10-18 11:40:00)","0","85","19"
"2","[2016-10-18 11:20:00,2016-10-18 11:40:00)","0","46","8"
"1","[2016-10-18 11:40:00,2016-10-18 12:00:00)","1","81","18"
"1","[2016-10-18 11:40:00,2016-10-18 12:00:00)","0","30","6"
"3","[2016-10-18 11:40:00,2016-10-18 12:00:00)","1","66","17"
"3","[2016-10-18 11:40:00,2016-10-18 12:00:00)","0","81","21"
"2","[2016-10-18 11:40:00,2016-10-18 12:00:00)","0","55","10"
"1","[2016-10-18 12:00:00,2016-10-18 12:20:00)","1","89","20"
"1","[2016-10-18 12:00:00,2016-10-18 12:20:00)","0","34","7"
"3","[2016-10-18 12:00:00,2016-10-18 12:20:00)","1","74","25"
"3","[2016-10-18 12:00:00,2016-10-18 12:20:00)","0","94","23"
"2","[2016-10-18 12:00:00,2016-10-18 12:20:00)","0","66","10"
"1","[2016-10-18 12:20:00,2016-10-18 12:40:00)","1","70","16"
"1","[2016-10-18 12:20:00,2016-10-18 12:40:00)","0","48","14"
"3","[2016-10-18 12:20:00,2016-10-18 12:40:00)","1","89","31"
"3","[2016-10-18 12:20:00,2016-10-18 12:40:00)","0","100","26"
"2","[2016-10-18 12:20:00,2016-10-18 12:40:00)","0","85","31"
"1","[2016-10-18 12:40:00,2016-10-18 13:00:00)","1","94","19"
"1","[2016-10-18 12:40:00,2016-10-18 13:00:00)","0","45","12"
"3","[2016-10-18 12:40:00,2016-10-18 13:00:00)","1","65","12"
"3","[2016-10-18 12:40:00,2016-10-18 13:00:00)","0","114","25"
"2","[2016-10-18 12:40:00,2016-10-18 13:00:00)","0","71","12"
"1","[2016-10-18 13:00:00,2016-10-18 13:20:00)","1","97","20"
"1","[2016-10-18 13:00:00,2016-10-18 13:20:00)","0","43","12"
"3","[2016-10-18 13:00:00,2016-10-18 13:20:00)","1","92","23"
"3","[2016-10-18 13:00:00,2016-10-18 13:20:00)","0","93","21"
"2","[2016-10-18 13:00:00,2016-10-18 13:20:00)","0","81","27"
"1","[2016-10-18 13:20:00,2016-10-18 13:40:00)","1","108","18"
"1","[2016-10-18 13:20:00,2016-10-18 13:40:00)","0","43","10"
"3","[2016-10-18 13:20:00,2016-10-18 13:40:00)","1","98","27"
"3","[2016-10-18 13:20:00,2016-10-18 13:40:00)","0","107","25"
"2","[2016-10-18 13:20:00,2016-10-18 13:40:00)","0","70","18"
"1","[2016-10-18 13:40:00,2016-10-18 14:00:00)","1","95","24"
"1","[2016-10-18 13:40:00,2016-10-18 14:00:00)","0","47","14"
"3","[2016-10-18 13:40:00,2016-10-18 14:00:00)","1","81","15"
"3","[2016-10-18 13:40:00,2016-10-18 14:00:00)","0","126","24"
"2","[2016-10-18 13:40:00,2016-10-18 14:00:00)","0","65","22"
"1","[2016-10-18 14:00:00,2016-10-18 14:20:00)","1","108","24"
"1","[2016-10-18 14:00:00,2016-10-18 14:20:00)","0","38","10"
"3","[2016-10-18 14:00:00,2016-10-18 14:20:00)","1","98","21"
"3","[2016-10-18 14:00:00,2016-10-18 14:20:00)","0","120","29"
"2","[2016-10-18 14:00:00,2016-10-18 14:20:00)","0","56","15"
"1","[2016-10-18 14:20:00,2016-10-18 14:40:00)","1","84","19"
"1","[2016-10-18 14:20:00,2016-10-18 14:40:00)","0","39","11"
"3","[2016-10-18 14:20:00,2016-10-18 14:40:00)","1","87","21"
"3","[2016-10-18 14:20:00,2016-10-18 14:40:00)","0","118","27"
"2","[2016-10-18 14:20:00,2016-10-18 14:40:00)","0","62","14"
"1","[2016-10-18 14:40:00,2016-10-18 15:00:00)","1","102","22"
"1","[2016-10-18 14:40:00,2016-10-18 15:00:00)","0","51","11"
"3","[2016-10-18 14:40:00,2016-10-18 15:00:00)","1","117","18"
"3","[2016-10-18 14:40:00,2016-10-18 15:00:00)","0","127","33"
"2","[2016-10-18 14:40:00,2016-10-18 15:00:00)","0","71","20"
"1","[2016-10-18 15:00:00,2016-10-18 15:20:00)","1","72","17"
"1","[2016-10-18 15:00:00,2016-10-18 15:20:00)","0","52","13"
"3","[2016-10-18 15:00:00,2016-10-18 15:20:00)","1","81","14"
"3","[2016-10-18 15:00:00,2016-10-18 15:20:00)","0","116","20"
"2","[2016-10-18 15:00:00,2016-10-18 15:20:00)","0","74","13"
"1","[2016-10-18 15:20:00,2016-10-18 15:40:00)","1","102","23"
"1","[2016-10-18 15:20:00,2016-10-18 15:40:00)","0","38","7"
"3","[2016-10-18 15:20:00,2016-10-18 15:40:00)","1","91","19"
"3","[2016-10-18 15:20:00,2016-10-18 15:40:00)","0","87","17"
"2","[2016-10-18 15:20:00,2016-10-18 15:40:00)","0","78","15"
"1","[2016-10-18 15:40:00,2016-10-18 16:00:00)","1","116","19"
"1","[2016-10-18 15:40:00,2016-10-18 16:00:00)","0","35","11"
"3","[2016-10-18 15:40:00,2016-10-18 16:00:00)","1","83","19"
"3","[2016-10-18 15:40:00,2016-10-18 16:00:00)","0","106","30"
"2","[2016-10-18 15:40:00,2016-10-18 16:00:00)","0","53","17"
"1","[2016-10-18 16:00:00,2016-10-18 16:20:00)","1","102","28"
"1","[2016-10-18 16:00:00,2016-10-18 16:20:00)","0","57","12"
"3","[2016-10-18 16:00:00,2016-10-18 16:20:00)","1","84","16"
"3","[2016-10-18 16:00:00,2016-10-18 16:20:00)","0","109","25"
"2","[2016-10-18 16:00:00,2016-10-18 16:20:00)","0","62","9"
"1","[2016-10-18 16:20:00,2016-10-18 16:40:00)","1","84","24"
"1","[2016-10-18 16:20:00,2016-10-18 16:40:00)","0","45","15"
"3","[2016-10-18 16:20:00,2016-10-18 16:40:00)","1","92","21"
"3","[2016-10-18 16:20:00,2016-10-18 16:40:00)","0","117","28"
"2","[2016-10-18 16:20:00,2016-10-18 16:40:00)","0","63","18"
"1","[2016-10-18 16:40:00,2016-10-18 17:00:00)","1","113","26"
"1","[2016-10-18 16:40:00,2016-10-18 17:00:00)","0","53","16"
"3","[2016-10-18 16:40:00,2016-10-18 17:00:00)","1","83","28"
"3","[2016-10-18 16:40:00,2016-10-18 17:00:00)","0","118","35"
"2","[2016-10-18 16:40:00,2016-10-18 17:00:00)","0","83","15"
"1","[2016-10-18 17:00:00,2016-10-18 17:20:00)","1","93","27"
"1","[2016-10-18 17:00:00,2016-10-18 17:20:00)","0","40","8"
"3","[2016-10-18 17:00:00,2016-10-18 17:20:00)","1","78","21"
"3","[2016-10-18 17:00:00,2016-10-18 17:20:00)","0","109","31"
"2","[2016-10-18 17:00:00,2016-10-18 17:20:00)","0","69","20"
"1","[2016-10-18 17:20:00,2016-10-18 17:40:00)","1","72","25"
"1","[2016-10-18 17:20:00,2016-10-18 17:40:00)","0","42","12"
"3","[2016-10-18 17:20:00,2016-10-18 17:40:00)","1","75","24"
"3","[2016-10-18 17:20:00,2016-10-18 17:40:00)","0","98","30"
"2","[2016-10-18 17:20:00,2016-10-18 17:40:00)","0","55","19"
"1","[2016-10-18 17:40:00,2016-10-18 18:00:00)","1","134","52"
"1","[2016-10-18 17:40:00,2016-10-18 18:00:00)","0","23","5"
"3","[2016-10-18 17:40:00,2016-10-18 18:00:00)","1","86","34"
"3","[2016-10-18 17:40:00,2016-10-18 18:00:00)","0","88","18"
"2","[2016-10-18 17:40:00,2016-10-18 18:00:00)","0","67","16"
"1","[2016-10-18 18:00:00,2016-10-18 18:20:00)","1","73","26"
"1","[2016-10-18 18:00:00,2016-10-18 18:20:00)","0","27","9"
"3","[2016-10-18 18:00:00,2016-10-18 18:20:00)","1","73","17"
"3","[2016-10-18 18:00:00,2016-10-18 18:20:00)","0","94","26"
"2","[2016-10-18 18:00:00,2016-10-18 18:20:00)","0","59","12"
"1","[2016-10-18 18:20:00,2016-10-18 18:40:00)","1","84","28"
"1","[2016-10-18 18:20:00,2016-10-18 18:40:00)","0","23","7"
"3","[2016-10-18 18:20:00,2016-10-18 18:40:00)","1","65","20"
"3","[2016-10-18 18:20:00,2016-10-18 18:40:00)","0","66","11"
"2","[2016-10-18 18:20:00,2016-10-18 18:40:00)","0","53","24"
"1","[2016-10-18 18:40:00,2016-10-18 19:00:00)","1","39","11"
"1","[2016-10-18 18:40:00,2016-10-18 19:00:00)","0","15","2"
"3","[2016-10-18 18:40:00,2016-10-18 19:00:00)","1","68","13"
"3","[2016-10-18 18:40:00,2016-10-18 19:00:00)","0","51","13"
"2","[2016-10-18 18:40:00,2016-10-18 19:00:00)","0","46","21"
"1","[2016-10-18 19:00:00,2016-10-18 19:20:00)","1","41","12"
"1","[2016-10-18 19:00:00,2016-10-18 19:20:00)","0","25","11"
"3","[2016-10-18 19:00:00,2016-10-18 19:20:00)","1","45","14"
"3","[2016-10-18 19:00:00,2016-10-18 19:20:00)","0","44","7"
"2","[2016-10-18 19:00:00,2016-10-18 19:20:00)","0","39","13"
"1","[2016-10-18 19:20:00,2016-10-18 19:40:00)","1","40","10"
"1","[2016-10-18 19:20:00,2016-10-18 19:40:00)","0","25","7"
"3","[2016-10-18 19:20:00,2016-10-18 19:40:00)","1","59","13"
"3","[2016-10-18 19:20:00,2016-10-18 19:40:00)","0","37","7"
"2","[2016-10-18 19:20:00,2016-10-18 19:40:00)","0","37","5"
"1","[2016-10-18 19:40:00,2016-10-18 20:00:00)","1","50","4"
"1","[2016-10-18 19:40:00,2016-10-18 20:00:00)","0","24","9"
"3","[2016-10-18 19:40:00,2016-10-18 20:00:00)","1","61","17"
"3","[2016-10-18 19:40:00,2016-10-18 20:00:00)","0","56","8"
"2","[2016-10-18 19:40:00,2016-10-18 20:00:00)","0","23","5"
"1","[2016-10-18 20:00:00,2016-10-18 20:20:00)","1","33","7"
"1","[2016-10-18 20:00:00,2016-10-18 20:20:00)","0","20","4"
"3","[2016-10-18 20:00:00,2016-10-18 20:20:00)","1","52","18"
"3","[2016-10-18 20:00:00,2016-10-18 20:20:00)","0","46","7"
"2","[2016-10-18 20:00:00,2016-10-18 20:20:00)","0","42","11"
"1","[2016-10-18 20:20:00,2016-10-18 20:40:00)","1","42","16"
"1","[2016-10-18 20:20:00,2016-10-18 20:40:00)","0","19","6"
"3","[2016-10-18 20:20:00,2016-10-18 20:40:00)","1","35","10"
"3","[2016-10-18 20:20:00,2016-10-18 20:40:00)","0","35","6"
"2","[2016-10-18 20:20:00,2016-10-18 20:40:00)","0","24","8"
"1","[2016-10-18 20:40:00,2016-10-18 21:00:00)","1","38","6"
"1","[2016-10-18 20:40:00,2016-10-18 21:00:00)","0","18","2"
"3","[2016-10-18 20:40:00,2016-10-18 21:00:00)","1","34","7"
"3","[2016-10-18 20:40:00,2016-10-18 21:00:00)","0","39","6"
"2","[2016-10-18 20:40:00,2016-10-18 21:00:00)","0","38","8"
"1","[2016-10-18 21:00:00,2016-10-18 21:20:00)","1","34","9"
"1","[2016-10-18 21:00:00,2016-10-18 21:20:00)","0","17","3"
"3","[2016-10-18 21:00:00,2016-10-18 21:20:00)","1","30","6"
"3","[2016-10-18 21:00:00,2016-10-18 21:20:00)","0","34","7"
"2","[2016-10-18 21:00:00,2016-10-18 21:20:00)","0","28","4"
"1","[2016-10-18 21:20:00,2016-10-18 21:40:00)","1","28","3"
"1","[2016-10-18 21:20:00,2016-10-18 21:40:00)","0","9","2"
"3","[2016-10-18 21:20:00,2016-10-18 21:40:00)","1","21","9"
"3","[2016-10-18 21:20:00,2016-10-18 21:40:00)","0","31","5"
"2","[2016-10-18 21:20:00,2016-10-18 21:40:00)","0","20","5"
"1","[2016-10-18 21:40:00,2016-10-18 22:00:00)","1","20","4"
"1","[2016-10-18 21:40:00,2016-10-18 22:00:00)","0","10","1"
"3","[2016-10-18 21:40:00,2016-10-18 22:00:00)","1","28","5"
"3","[2016-10-18 21:40:00,2016-10-18 22:00:00)","0","38","8"
"2","[2016-10-18 21:40:00,2016-10-18 22:00:00)","0","25","2"
"1","[2016-10-18 22:00:00,2016-10-18 22:20:00)","1","17","1"
"1","[2016-10-18 22:00:00,2016-10-18 22:20:00)","0","4","0"
"3","[2016-10-18 22:00:00,2016-10-18 22:20:00)","1","24","3"
"3","[2016-10-18 22:00:00,2016-10-18 22:20:00)","0","21","2"
"2","[2016-10-18 22:00:00,2016-10-18 22:20:00)","0","22","4"
"1","[2016-10-18 22:20:00,2016-10-18 22:40:00)","1","15","1"
"1","[2016-10-18 22:20:00,2016-10-18 22:40:00)","0","10","1"
"3","[2016-10-18 22:20:00,2016-10-18 22:40:00)","1","27","6"
"3","[2016-10-18 22:20:00,2016-10-18 22:40:00)","0","19","3"
"2","[2016-10-18 22:20:00,2016-10-18 22:40:00)","0","15","5"
"1","[2016-10-18 22:40:00,2016-10-18 23:00:00)","1","27","9"
"1","[2016-10-18 22:40:00,2016-10-18 23:00:00)","0","7","0"
"3","[2016-10-18 22:40:00,2016-10-18 23:00:00)","1","26","6"
"3","[2016-10-18 22:40:00,2016-10-18 23:00:00)","0","16","1"
"2","[2016-10-18 22:40:00,2016-10-18 23:00:00)","0","12","1"
"1","[2016-10-18 23:00:00,2016-10-18 23:20:00)","1","21","3"
"1","[2016-10-18 23:00:00,2016-10-18 23:20:00)","0","5","1"
"3","[2016-10-18 23:00:00,2016-10-18 23:20:00)","1","17","1"
"3","[2016-10-18 23:00:00,2016-10-18 23:20:00)","0","18","4"
"2","[2016-10-18 23:00:00,2016-10-18 23:20:00)","0","13","2"
"1","[2016-10-18 23:20:00,2016-10-18 23:40:00)","1","17","4"
"1","[2016-10-18 23:20:00,2016-10-18 23:40:00)","0","8","4"
"3","[2016-10-18 23:20:00,2016-10-18 23:40:00)","1","17","1"
"3","[2016-10-18 23:20:00,2016-10-18 23:40:00)","0","11","4"
"2","[2016-10-18 23:20:00,2016-10-18 23:40:00)","0","9","2"
"1","[2016-10-18 23:40:00,2016-10-19 00:00:00)","1","16","4"
"1","[2016-10-18 23:40:00,2016-10-19 00:00:00)","0","2","0"
"3","[2016-10-18 23:40:00,2016-10-19 00:00:00)","1","8","2"
"3","[2016-10-18 23:40:00,2016-10-19 00:00:00)","0","17","3"
"2","[2016-10-18 23:40:00,2016-10-19 00:00:00)","0","7","3"
"1","[2016-10-19 00:00:00,2016-10-19 00:20:00)","1","101","26"
"1","[2016-10-19 00:00:00,2016-10-19 00:20:00)","0","10","1"
"3","[2016-10-19 00:00:00,2016-10-19 00:20:00)","1","131","31"
"3","[2016-10-19 00:00:00,2016-10-19 00:20:00)","0","11","2"
"2","[2016-10-19 00:00:00,2016-10-19 00:20:00)","0","4","3"
"1","[2016-10-19 00:20:00,2016-10-19 00:40:00)","1","65","8"
"1","[2016-10-19 00:20:00,2016-10-19 00:40:00)","0","11","1"
"3","[2016-10-19 00:20:00,2016-10-19 00:40:00)","1","91","32"
"3","[2016-10-19 00:20:00,2016-10-19 00:40:00)","0","13","0"
"1","[2016-10-19 00:40:00,2016-10-19 01:00:00)","1","33","8"
"1","[2016-10-19 00:40:00,2016-10-19 01:00:00)","0","10","3"
"3","[2016-10-19 00:40:00,2016-10-19 01:00:00)","1","61","13"
"3","[2016-10-19 00:40:00,2016-10-19 01:00:00)","0","13","2"
"2","[2016-10-19 00:40:00,2016-10-19 01:00:00)","0","1","1"
"1","[2016-10-19 01:00:00,2016-10-19 01:20:00)","1","6","1"
"1","[2016-10-19 01:00:00,2016-10-19 01:20:00)","0","6","0"
"3","[2016-10-19 01:00:00,2016-10-19 01:20:00)","1","9","4"
"3","[2016-10-19 01:00:00,2016-10-19 01:20:00)","0","23","3"
